newcomb_species_name,species_inat,taxon_id,observation_id,photo_id,photo_url,license,annotations,observed_on,place_guess,num_photos_in_obs,total_obs_available,key_flower_type,key_plant_type,key_leaf_type
Acnida cannabina,Amaranthus cannabinus,145530,139767464,239120799,https://inaturalist-open-data.s3.amazonaws.com/photos/239120799/original.jpg,cc-by-nc,"[{'uuid': '21c8787c-6061-4797-b123-0d985c5ec314', 'controlled_attribute_id': 12, 'controlled_value_id': 13, 'concatenated_attr_val': '12|13', 'user_id': 6326166, 'votes': [], 'user': {'id': 6326166, 'login': 'hcoste', 'spam': False, 'suspended': False, 'created_at': '2022-11-16T18:38:30+00:00', 'login_autocomplete': 'hcoste', 'login_exact': 'hcoste', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/6326166/thumb.jpg?1696809066', 'observations_count': 3248, 'identifications_count': 277367, 'journal_posts_count': 1, 'activity_count': 280616, 'species_count': 1392, 'annotated_observations_count': 155152, 'universal_search_rank': 3248, 'roles': ['curator'], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/6326166/medium.jpg?1696809066'}, 'vote_score': 0}, {'uuid': 'b61a953f-7c98-4413-9c60-14e7157fa975', 'controlled_attribute_id': 36, 'controlled_value_id': 38, 'concatenated_attr_val': '36|38', 'user_id': 6326166, 'votes': [], 'user': {'id': 6326166, 'login': 'hcoste', 'spam': False, 'suspended': False, 'created_at': '2022-11-16T18:38:30+00:00', 'login_autocomplete': 'hcoste', 'login_exact': 'hcoste', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/6326166/thumb.jpg?1696809066', 'observations_count': 3248, 'identifications_count': 277367, 'journal_posts_count': 1, 'activity_count': 280616, 'species_count': 1392, 'annotated_observations_count': 155152, 'universal_search_rank': 3248, 'roles': ['curator'], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/6326166/medium.jpg?1696809066'}, 'vote_score': 0}]",2022-10-22,"Raritan River, New Brunswick, NJ, US",8,355,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire
Acnida cannabina,Amaranthus cannabinus,145530,249974541,446964670,https://inaturalist-open-data.s3.amazonaws.com/photos/446964670/original.jpeg,cc-by-nc,[],2024-10-31,"Long Island, Quogue, NY, US",7,355,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire
Acnida cannabina,Amaranthus cannabinus,145530,55104254,87721209,https://inaturalist-open-data.s3.amazonaws.com/photos/87721209/original.jpg,cc-by-nc,"[{'user_id': 792319, 'concatenated_attr_val': '12|15', 'controlled_attribute_id': 12, 'votes': [], 'uuid': '45e4f75d-a218-4865-9162-ddb6cd35c486', 'vote_score': 0, 'controlled_value_id': 15, 'user': {'id': 792319, 'login': 'djringer', 'spam': False, 'suspended': False, 'created_at': '2018-03-17T11:55:14+00:00', 'login_autocomplete': 'djringer', 'login_exact': 'djringer', 'name': 'David Jeffrey Ringer', 'name_autocomplete': 'David Jeffrey Ringer', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/792319/thumb.jpg?1625801660', 'observations_count': 27856, 'identifications_count': 193182, 'journal_posts_count': 6, 'activity_count': 221044, 'species_count': 7903, 'annotated_observations_count': 14032, 'universal_search_rank': 27856, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/792319/medium.jpg?1625801660'}}]",2020-08-01,"Spuyten Duyvil Creek, New York, NY, US",4,355,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire
Acnida cannabina,Amaranthus cannabinus,145530,42454885,67410447,https://static.inaturalist.org/photos/67410447/original.jpg,,"[{'uuid': '1526db98-97b6-4ba9-948b-98643fbe6b67', 'controlled_attribute_id': 12, 'controlled_value_id': 13, 'concatenated_attr_val': '12|13', 'user_id': 3135146, 'votes': [], 'user': {'id': 3135146, 'login': 'iacomaner', 'spam': False, 'suspended': False, 'created_at': '2020-06-06T22:55:43+00:00', 'login_autocomplete': 'iacomaner', 'login_exact': 'iacomaner', 'name': '', 'name_autocomplete': '', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/3135146/thumb.jpeg?1637480868', 'observations_count': 22185, 'identifications_count': 32679, 'journal_posts_count': 1, 'activity_count': 54865, 'species_count': 2747, 'annotated_observations_count': 12512, 'universal_search_rank': 22185, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/3135146/medium.jpeg?1637480868'}, 'vote_score': 0}, {'uuid': 'ec820e46-486c-48d5-925b-ab7a5b3d7e7e', 'controlled_attribute_id': 12, 'controlled_value_id': 15, 'concatenated_attr_val': '12|15', 'user_id': 3135146, 'votes': [], 'user': {'id': 3135146, 'login': 'iacomaner', 'spam': False, 'suspended': False, 'created_at': '2020-06-06T22:55:43+00:00', 'login_autocomplete': 'iacomaner', 'login_exact': 'iacomaner', 'name': '', 'name_autocomplete': '', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/3135146/thumb.jpeg?1637480868', 'observations_count': 22185, 'identifications_count': 32679, 'journal_posts_count': 1, 'activity_count': 54865, 'species_count': 2747, 'annotated_observations_count': 12512, 'universal_search_rank': 22185, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/3135146/medium.jpeg?1637480868'}, 'vote_score': 0}, {'uuid': '18b4bf8e-fa63-4b51-8812-a8dc851adcd7', 'controlled_attribute_id': 36, 'controlled_value_id': 38, 'concatenated_attr_val': '36|38', 'user_id': 3135146, 'votes': [], 'user': {'id': 3135146, 'login': 'iacomaner', 'spam': False, 'suspended': False, 'created_at': '2020-06-06T22:55:43+00:00', 'login_autocomplete': 'iacomaner', 'login_exact': 'iacomaner', 'name': '', 'name_autocomplete': '', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/3135146/thumb.jpeg?1637480868', 'observations_count': 22185, 'identifications_count': 32679, 'journal_posts_count': 1, 'activity_count': 54865, 'species_count': 2747, 'annotated_observations_count': 12512, 'universal_search_rank': 22185, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/3135146/medium.jpeg?1637480868'}, 'vote_score': 0}]",2018-07-15,"Route 25A, Smithtown, NY, US",3,355,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire
Acnida cannabina,Amaranthus cannabinus,145530,250055339,447122910,https://static.inaturalist.org/photos/447122910/original.jpeg,,[],2024-10-14,"Bear Mountain State Park, Valley Cottage, NY, US",2,355,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire
Acnida cannabina,Amaranthus cannabinus,145530,50981808,80980913,https://inaturalist-open-data.s3.amazonaws.com/photos/80980913/original.jpeg,cc-by,"[{'user_id': 50920, 'concatenated_attr_val': '12|21', 'controlled_attribute_id': 12, 'votes': [], 'uuid': '6fb2c776-4a04-4336-9714-97f6f359a305', 'vote_score': 0, 'controlled_value_id': 21, 'user': {'id': 50920, 'login': 'susanhewitt', 'spam': False, 'suspended': False, 'created_at': '2014-09-01T00:43:10+00:00', 'login_autocomplete': 'susanhewitt', 'login_exact': 'susanhewitt', 'name': 'Susan J. Hewitt', 'name_autocomplete': 'Susan J. Hewitt', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/50920/thumb.jpg?1555625262', 'observations_count': 138659, 'identifications_count': 151171, 'journal_posts_count': 125, 'activity_count': 289955, 'species_count': 5652, 'annotated_observations_count': 18180, 'universal_search_rank': 138659, 'roles': ['curator'], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/50920/medium.jpg?1555625262'}}]",2020-06-26,"Lindenwood, Queens, NY, USA",5,355,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire
Acnida cannabina,Amaranthus cannabinus,145530,57399363,91550745,https://static.inaturalist.org/photos/91550745/original.jpeg,,[],2020-08-22,"Marshfield, MA 02050, USA",1,355,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire
Acnida cannabina,Amaranthus cannabinus,145530,281164142,505049988,https://inaturalist-open-data.s3.amazonaws.com/photos/505049988/original.jpg,cc-by-nc,[],2024-08-29,"New York, US",1,355,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire
Acnida cannabina,Amaranthus cannabinus,145530,308828487,557212183,https://inaturalist-open-data.s3.amazonaws.com/photos/557212183/original.jpg,cc-by-nc,[],2025-08-23,"Long Island, Brookhaven, NY, US",1,355,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire
Acnida cannabina,Amaranthus cannabinus,145530,56016371,89235611,https://inaturalist-open-data.s3.amazonaws.com/photos/89235611/original.jpg,cc-by-nc,"[{'uuid': 'd6e7be68-1b22-490d-847a-6c1032ed0103', 'controlled_attribute_id': 12, 'controlled_value_id': 13, 'concatenated_attr_val': '12|13', 'user_id': 792319, 'votes': [], 'user': {'id': 792319, 'login': 'djringer', 'spam': False, 'suspended': False, 'created_at': '2018-03-17T11:55:14+00:00', 'login_autocomplete': 'djringer', 'login_exact': 'djringer', 'name': 'David Jeffrey Ringer', 'name_autocomplete': 'David Jeffrey Ringer', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/792319/thumb.jpg?1625801660', 'observations_count': 27856, 'identifications_count': 193182, 'journal_posts_count': 6, 'activity_count': 221044, 'species_count': 7903, 'annotated_observations_count': 14032, 'universal_search_rank': 27856, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/792319/medium.jpg?1625801660'}, 'vote_score': 0}]",2020-08-08,"DeKorte Park, Lyndhurst, NJ, US",4,355,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire
