model,observation_id,photo_id,taxon_id,species_inat,newcomb_species_name,feature,true_value,p1_raw,p1_parsed,p2_raw,p2_parsed,feature_correct,committed
gpt-4o-mini,55976635,89166741,53107,Lactuca serriola,Lactuca scariola,key_flower_type,7 or More Regular Parts,YES,YES,5. **7 or More Regular Parts**,7 or More Regular Parts,True,True
gpt-4o-mini,55976635,89166741,53107,Lactuca serriola,Lactuca scariola,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True,True
gpt-4o-mini,55976635,89166741,53107,Lactuca serriola,Lactuca scariola,key_leaf_type,Leaves Toothed or Lobed,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,55976635,89166741,53107,Lactuca serriola,Lactuca scariola,key_subgroup_1,Yellow or orange flowers,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,55976635,89166741,53107,Lactuca serriola,Lactuca scariola,key_subgroup_2,Dandelionlike flowers,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,323723318,585802044,53107,Lactuca serriola,Lactuca scariola,key_flower_type,7 or More Regular Parts,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,323723318,585802044,53107,Lactuca serriola,Lactuca scariola,key_plant_type,Wildflowers - Alternate Leaves,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,323723318,585802044,53107,Lactuca serriola,Lactuca scariola,key_leaf_type,Leaves Toothed or Lobed,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,323723318,585802044,53107,Lactuca serriola,Lactuca scariola,key_subgroup_1,Yellow or orange flowers,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,323723318,585802044,53107,Lactuca serriola,Lactuca scariola,key_subgroup_2,Dandelionlike flowers,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,131520989,223832752,53107,Lactuca serriola,Lactuca scariola,key_flower_type,7 or More Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,131520989,223832752,53107,Lactuca serriola,Lactuca scariola,key_plant_type,Wildflowers - Alternate Leaves,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,131520989,223832752,53107,Lactuca serriola,Lactuca scariola,key_leaf_type,Leaves Toothed or Lobed,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,131520989,223832752,53107,Lactuca serriola,Lactuca scariola,key_subgroup_1,Yellow or orange flowers,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,131520989,223832752,53107,Lactuca serriola,Lactuca scariola,key_subgroup_2,Dandelionlike flowers,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,48050842,76460834,53387,Cornus sericea,Cornus stolonifera,key_flower_type,4 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,48050842,76460834,53387,Cornus sericea,Cornus stolonifera,key_plant_type,Shrubs,YES,YES,Shrubs,Shrubs,True,True
gpt-4o-mini,48050842,76460834,53387,Cornus sericea,Cornus stolonifera,key_leaf_type,Leaves Entire,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,48050842,76460834,53387,Cornus sericea,Cornus stolonifera,key_subgroup_1,Shrubs over 2' high,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,17994537,27506638,53387,Cornus sericea,Cornus stolonifera,key_flower_type,4 Regular Parts,NO,NO,,INCONCLUSIVE,True,False
gpt-4o-mini,17994537,27506638,53387,Cornus sericea,Cornus stolonifera,key_plant_type,Shrubs,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,17994537,27506638,53387,Cornus sericea,Cornus stolonifera,key_leaf_type,Leaves Entire,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
gpt-4o-mini,17994537,27506638,53387,Cornus sericea,Cornus stolonifera,key_subgroup_1,Shrubs over 2' high,INCONCLUSIVE,INCONCLUSIVE,,INCONCLUSIVE,True,False
gpt-4o-mini,61827252,98982370,53387,Cornus sericea,Cornus stolonifera,key_flower_type,4 Regular Parts,YES,YES,Cannot determine from this image.,INCONCLUSIVE,True,False
