pile_slug,character_short_name,value_type,value_index,choice,display_label,friendly_text,value_range_min,value_range_max,scalar,image_url,taxa_count_api
woody-angiosperms,abaxial_leaf_blade_indument_wa,TEXT,0,pubescent,pubescent,the underside of the leaf has hairs on it,,,,,243
woody-angiosperms,abaxial_leaf_blade_indument_wa,TEXT,1,glabrous,glabrous,the underside of the leaf has no hairs,,,,,200
woody-angiosperms,abaxial_leaf_blade_indument_wa,TEXT,2,NA,NA,,,,,,0
woody-angiosperms,accesory_tissue_as_part_of_the_disperal_unit_wa,TEXT,0,NA,NA,,,,,,0
woody-angiosperms,accesory_tissue_as_part_of_the_disperal_unit_wa,TEXT,1,absent,absent,there are no flower parts that form part of the fruit,,,,,291
woody-angiosperms,accesory_tissue_as_part_of_the_disperal_unit_wa,TEXT,2,"present, hypanthium","present, hypanthium",the hypanthium of the flower becomes part of the fruit,,,,https://newfs.s3.amazonaws.com/character-value-images/hypanthium.gif,159
woody-angiosperms,accesory_tissue_as_part_of_the_disperal_unit_wa,TEXT,3,"present, receptacle","present, receptacle",the receptacle of the flower becomes part of the fruit,,,,https://newfs.s3.amazonaws.com/character-value-images/receptacle.gif,3
woody-angiosperms,adaxial_leaf_blade_indument_wa,TEXT,0,NA,NA,,,,,,0
woody-angiosperms,adaxial_leaf_blade_indument_wa,TEXT,1,glabrous,glabrous,"the upper side of the leaf is not hairy, or has very few hairs",,,,,485
woody-angiosperms,adaxial_leaf_blade_indument_wa,TEXT,2,pubescent,pubescent,the upper side of the leaf is fuzzy or hairy,,,,,215
woody-angiosperms,aerial_roots_wa,TEXT,0,NA,NA,,,,,,0
woody-angiosperms,aerial_roots_wa,TEXT,1,absent,absent,the plant has no aerial roots,,,,,549
woody-angiosperms,aerial_roots_wa,TEXT,2,present,present,the plant has aerial roots,,,,,3
woody-angiosperms,anther_color_wa,TEXT,0,non-anthocyanic,non-anthocyanic,"the anthers show no hint of a pink, reddish or purplish tint",,,,,146
woody-angiosperms,anther_color_wa,TEXT,1,NA,NA,,,,,,0
woody-angiosperms,anther_color_wa,TEXT,2,anthocyanic,anthocyanic,"there is a noticeable pink, reddish or purplish tint to the anthers",,,,,80
woody-angiosperms,apex_of_leaf_lobes_teeth_Quercus_wa,TEXT,0,NA,NA,,,,,,538
woody-angiosperms,apex_of_leaf_lobes_teeth_Quercus_wa,TEXT,1,rounded to acute,rounded to acute,the lobes of the leaf blade are rounded or bluntly pointed,,,,https://newfs.s3.amazonaws.com/character-value-images/leaf-lobe-apex-rounded.gif,9
woody-angiosperms,apex_of_leaf_lobes_teeth_Quercus_wa,TEXT,2,prolonged into bristle tips,prolonged into bristle tips,the lobes of the leaf blade are tipped with small bristles,,,,https://newfs.s3.amazonaws.com/character-value-images/leaf-lobe-apex-bristle.gif,7
woody-angiosperms,armature_wa,TEXT,0,NA,NA,,,,,,0
woody-angiosperms,armature_wa,TEXT,1,present,present,"the plant has spines, prickles, or thorns",,,,https://newfs.s3.amazonaws.com/character-value-images/armature-wa.gif,133
woody-angiosperms,armature_wa,TEXT,2,absent,absent,"the plant does not have spines, prickles, or thorns",,,,https://newfs.s3.amazonaws.com/character-value-images/armature-no-wa.gif,433
woody-angiosperms,berry_color_wa,TEXT,0,blue,blue,blue,,,,,41
woody-angiosperms,berry_color_wa,TEXT,1,white,white,white,,,,,12
woody-angiosperms,berry_color_wa,TEXT,2,red,red,red,,,,,157
woody-angiosperms,berry_color_wa,TEXT,3,yellow,yellow,yellow,,,,,40
woody-angiosperms,berry_color_wa,TEXT,4,other,other,some other color,,,,,21
woody-angiosperms,berry_color_wa,TEXT,5,orange,orange,orange,,,,,24
woody-angiosperms,berry_color_wa,TEXT,6,NA,NA,,,,,,346
woody-angiosperms,berry_color_wa,TEXT,7,black,black,black,,,,,107
woody-angiosperms,berry_color_wa,TEXT,8,green,green,green,,,,,20
woody-angiosperms,berry_color_wa,TEXT,9,purple,purple,purple,,,,,45
woody-angiosperms,bloom_on_abaxial_leaf_blade_surface_wa,TEXT,0,present,present,there is a noticeable powdery or waxy bloom on the underside of the leaf,,,,,90
woody-angiosperms,bloom_on_abaxial_leaf_blade_surface_wa,TEXT,1,NA,NA,,,,,,0
woody-angiosperms,bloom_on_abaxial_leaf_blade_surface_wa,TEXT,2,absent,absent,the underside of the leaf has no noticeable bloom,,,,,244
woody-angiosperms,branch_brittleness_Salix_wa,TEXT,0,NA,NA,,,,,,522
woody-angiosperms,branch_brittleness_Salix_wa,TEXT,1,brittle,brittle,"the branches are brittle, and break easily",,,,,10
woody-angiosperms,branch_brittleness_Salix_wa,TEXT,2,flexible,flexible,"the branches are flexible, and do not break easily",,,,,17
woody-angiosperms,branch_cross-section_wa,TEXT,0,NA,NA,,,,,,0
woody-angiosperms,branch_cross-section_wa,TEXT,1,quadrangular,quadrangular,"the branch is roughly square or rectangular in cross-section, with four sides and four edges",,,,https://newfs.s3.amazonaws.com/character-value-images/branch-cross-section-quadrangular.gif,17
woody-angiosperms,branch_cross-section_wa,TEXT,2,terete or many-angled,terete or many-angled,"the branch is circular in cross-section, or it has five or more sides, so that there are no sharp angles",,,,https://newfs.s3.amazonaws.com/character-value-images/branch-cross-section-terete.gif,529
woody-angiosperms,branchlet_bloom_wa,TEXT,0,present,present,the twig has bloom on it,,,,,18
woody-angiosperms,branchlet_bloom_wa,TEXT,1,NA,NA,,,,,,0
woody-angiosperms,branchlet_bloom_wa,TEXT,2,absent,absent,there is no bloom on the twig,,,,,315
woody-angiosperms,branchlet_indument_wa,TEXT,0,NA,NA,,,,,,0
woody-angiosperms,branchlet_indument_wa,TEXT,1,glabrous,glabrous,the twigs have few or no hairs on them,,,,https://newfs.s3.amazonaws.com/character-value-images/branchlet-indument-glabrous.gif,206
woody-angiosperms,branchlet_indument_wa,TEXT,2,"pubescent, at least in part glandular","pubescent, at least in part glandular",the twigs have hairs with glands at their tips,,,,https://newfs.s3.amazonaws.com/character-value-images/branchlet-indument-glandular.gif,37
woody-angiosperms,branchlet_indument_wa,TEXT,3,"pubescent, entirely eglandular","pubescent, entirely eglandular","the twigs have hairs, but the hairs do not have glands",,,,https://newfs.s3.amazonaws.com/character-value-images/branchlet-indument-eglandular.gif,137
woody-angiosperms,branchlet_papillae_Vaccinium_wa,TEXT,0,absent,absent,there are no papillae on the twigs,,,,,6
woody-angiosperms,branchlet_papillae_Vaccinium_wa,TEXT,1,NA,NA,,,,,,539
woody-angiosperms,branchlet_papillae_Vaccinium_wa,TEXT,2,present,present,the twigs have papillae on them,,,,https://newfs.s3.amazonaws.com/character-value-images/papilla.gif,7
woody-angiosperms,branch_wings_wa,TEXT,0,absent,absent,the branch does not have wings on it,,,,,547
woody-angiosperms,branch_wings_wa,TEXT,1,NA,NA,,,,,,0
woody-angiosperms,branch_wings_wa,TEXT,2,present,present,the branch has wings running along it,,,,https://newfs.s3.amazonaws.com/character-value-images/branch-wings.gif,11
woody-angiosperms,carpel_fusion_wa,TEXT,0,NA,NA,,,,,,0
woody-angiosperms,carpel_fusion_wa,TEXT,1,connate,connate,the carpels are fused to one another,,,,https://newfs.s3.amazonaws.com/character-value-images/carpel-fusion-connate.gif,463
woody-angiosperms,carpel_fusion_wa,TEXT,2,distinct,distinct,the carpel is solitary or (if 2 or more) the carpels are not fused to one another,,,,https://newfs.s3.amazonaws.com/character-value-images/carpel-fusion-distinct.gif,102
woody-angiosperms,collateral_buds_wa,TEXT,0,NA,NA,,,,,,0
woody-angiosperms,collateral_buds_wa,TEXT,1,present,present,the branches have collateral buds on them,,,,https://newfs.s3.amazonaws.com/character-value-images/collateral-buds.gif,7
