pile_slug,taxon_id,scientific_name,common_name,genus,family,taxonomic_authority,species_url
woody-angiosperms,3431,Deutzia scabra,fuzzy pride-of-Rochester,Deutzia,Hydrangeaceae,Thunb.,/species/deutzia/scabra/?pile=woody-angiosperms
woody-angiosperms,1040,Daphne cneorum,rose daphne,Daphne,Thymelaeaceae,L.,/species/daphne/cneorum/?pile=woody-angiosperms
woody-angiosperms,2816,Cydonia oblonga,quince,Cydonia,Rosaceae,P. Mill.,/species/cydonia/oblonga/?pile=woody-angiosperms
woody-angiosperms,3520,Pyrus calleryana,Bradford pear,Pyrus,Rosaceae,Dcne.,/species/pyrus/calleryana/?pile=woody-angiosperms
woody-angiosperms,820,Pyrus communis,common pear,Pyrus,Rosaceae,L.,/species/pyrus/communis/?pile=woody-angiosperms
woody-angiosperms,2498,Exochorda racemosa,common pearlbrush,Exochorda,Rosaceae,(Lindl.) Rehd.,/species/exochorda/racemosa/?pile=woody-angiosperms
woody-angiosperms,2688,Crataegus succulenta,fleshy hawthorn,Crataegus,Rosaceae,Schrad. ex Link,/species/crataegus/succulenta/?pile=woody-angiosperms
woody-angiosperms,795,Crataegus stonei,Stone's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/stonei/?pile=woody-angiosperms
woody-angiosperms,3375,Crataegus schuettei,Schuette's hawthorn,Crataegus,Rosaceae,Ashe,/species/crataegus/schuettei/?pile=woody-angiosperms
woody-angiosperms,2408,Crataegus scabrida,scabrous hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/scabrida/?pile=woody-angiosperms
woody-angiosperms,463,Crataegus populnea,poplar hawthorn,Crataegus,Rosaceae,Ashe,/species/crataegus/populnea/?pile=woody-angiosperms
woody-angiosperms,2702,Crataegus pisifera,pea hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/pisifera/?pile=woody-angiosperms
woody-angiosperms,587,Crataegus macracantha,long-thorned hawthorn,Crataegus,Rosaceae,Lodd. ex Loud,/species/crataegus/macracantha/?pile=woody-angiosperms
woody-angiosperms,1405,Crataegus levis,smooth hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/levis/?pile=woody-angiosperms
woody-angiosperms,1304,Crataegus laurentiana,Brunet's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/laurentiana/?pile=woody-angiosperms
woody-angiosperms,1439,Crataegus kennedyi,Kennedy's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/kennedyi/?pile=woody-angiosperms
woody-angiosperms,437,Crataegus keepii,Keep's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/keepii/?pile=woody-angiosperms
woody-angiosperms,1489,Crataegus jonesiae,Miss Jones' hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/jonesiae/?pile=woody-angiosperms
woody-angiosperms,534,Crataegus punctata,dotted hawthorn,Crataegus,Rosaceae,Jacq.,/species/crataegus/punctata/?pile=woody-angiosperms
woody-angiosperms,1481,Crataegus irrasa,zigzag hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/irrasa/?pile=woody-angiosperms
woody-angiosperms,3029,Crataegus ideae,Ide's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/ideae/?pile=woody-angiosperms
woody-angiosperms,3252,Crataegus umbratilis,shaded hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/umbratilis/?pile=woody-angiosperms
woody-angiosperms,3506,Crataegus handyae,Handy's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/handyae/?pile=woody-angiosperms
woody-angiosperms,1910,Crataegus fretalis,Long Island Sound hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/fretalis/?pile=woody-angiosperms
woody-angiosperms,31,Crataegus forbesae,Forbes' hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/forbesae/?pile=woody-angiosperms
woody-angiosperms,1777,Crataegus fluviatilis,river hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/fluviatilis/?pile=woody-angiosperms
woody-angiosperms,703,Crataegus lucorum,grove hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/lucorum/?pile=woody-angiosperms
woody-angiosperms,677,Crataegus flavida,yellow hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/flavida/?pile=woody-angiosperms
woody-angiosperms,324,Crataegus flabellata,fan-leaved hawthorn,Crataegus,Rosaceae,(Bosc ex Spach) K. Koch,/species/crataegus/flabellata/?pile=woody-angiosperms
woody-angiosperms,3132,Crataegus submollis,Quebec hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/submollis/?pile=woody-angiosperms
woody-angiosperms,919,Crataegus faxonii,Faxon's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/faxonii/?pile=woody-angiosperms
woody-angiosperms,2517,Crataegus egglestonii,Eggleston's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/egglestonii/?pile=woody-angiosperms
woody-angiosperms,1294,Crataegus lumaria,thorny hawthorn,Crataegus,Rosaceae,Ashe,/species/crataegus/lumaria/?pile=woody-angiosperms
woody-angiosperms,3152,Crataegus dodgei,Dodge's hawthorn,Crataegus,Rosaceae,Ashe,/species/crataegus/dodgei/?pile=woody-angiosperms
woody-angiosperms,1921,Crataegus dissona,northern hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/dissona/?pile=woody-angiosperms
woody-angiosperms,3463,Crataegus pruinosa,frosted hawthorn,Crataegus,Rosaceae,(Wendl. f.) K. Koch,/species/crataegus/pruinosa/?pile=woody-angiosperms
woody-angiosperms,997,Crataegus jesupii,Jesup's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/jesupii/?pile=woody-angiosperms
woody-angiosperms,251,Crataegus cyclophylla,round-leaved hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/cyclophylla/?pile=woody-angiosperms
woody-angiosperms,2932,Crataegus crus-galli,cockspur hawthorn,Crataegus,Rosaceae,L.,/species/crataegus/crus-galli/?pile=woody-angiosperms
woody-angiosperms,1412,Crataegus schizophylla,cleft-leaved hawthorn,Crataegus,Rosaceae,Egglest.,/species/crataegus/schizophylla/?pile=woody-angiosperms
woody-angiosperms,3108,Crataegus coccinioides,Kansas hawthorn,Crataegus,Rosaceae,Ashe,/species/crataegus/coccinioides/?pile=woody-angiosperms
woody-angiosperms,2751,Crataegus coccinea,scarlet hawthorn,Crataegus,Rosaceae,L.,/species/crataegus/coccinea/?pile=woody-angiosperms
woody-angiosperms,3376,Crataegus pringlei,Pringle's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/pringlei/?pile=woody-angiosperms
woody-angiosperms,535,Crataegus holmesiana,Holmes' hawthorn,Crataegus,Rosaceae,Ashe,/species/crataegus/holmesiana/?pile=woody-angiosperms
woody-angiosperms,2730,Crataegus brainerdii,Brainerd's hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/brainerdii/?pile=woody-angiosperms
woody-angiosperms,744,Crataegus boyntonii,stinking hawthorn,Crataegus,Rosaceae,Beadle,/species/crataegus/boyntonii/?pile=woody-angiosperms
woody-angiosperms,1524,Crataegus intricata,entangled hawthorn,Crataegus,Rosaceae,Lange,/species/crataegus/intricata/?pile=woody-angiosperms
woody-angiosperms,3114,Crataegus biltmoreana,Biltmore hawthorn,Crataegus,Rosaceae,Beadle,/species/crataegus/biltmoreana/?pile=woody-angiosperms
woody-angiosperms,238,Crataegus bicknellii,Bicknell's hawthorn,Crataegus,Rosaceae,Egglest.,/species/crataegus/bicknellii/?pile=woody-angiosperms
woody-angiosperms,1480,Crataegus asperifolia,rough-leaved hawthorn,Crataegus,Rosaceae,Sarg.,/species/crataegus/asperifolia/?pile=woody-angiosperms
woody-angiosperms,2792,Empetrum atropurpureum,purple crowberry,Empetrum,Ericaceae,Fern. & Wieg.,/species/empetrum/atropurpureum/?pile=woody-angiosperms
woody-angiosperms,653,Empetrum nigrum,black crowberry,Empetrum,Ericaceae,L.,/species/empetrum/nigrum/?pile=woody-angiosperms
woody-angiosperms,599,Corema conradii,broom-crowberry,Corema,Ericaceae,(Torr.) Torr. ex Loud.,/species/corema/conradii/?pile=woody-angiosperms
woody-angiosperms,2331,Chaenomeles japonica,Japanese flowering-quince,Chaenomeles,Rosaceae,(Thunb.) Lindl. ex Spach,/species/chaenomeles/japonica/?pile=woody-angiosperms
woody-angiosperms,2696,Chaenomeles speciosa,common flowering-quince,Chaenomeles,Rosaceae,(Sweet) Nakai,/species/chaenomeles/speciosa/?pile=woody-angiosperms
woody-angiosperms,79,Celastrus scandens,American bittersweet,Celastrus,Celastraceae,L.,/species/celastrus/scandens/?pile=woody-angiosperms
woody-angiosperms,915,Ceanothus herbaceus,prairie redroot,Ceanothus,Rhamnaceae,L.,/species/ceanothus/herbaceus/?pile=woody-angiosperms
woody-angiosperms,1918,Ceanothus americanus,New Jersey tea,Ceanothus,Rhamnaceae,L.,/species/ceanothus/americanus/?pile=woody-angiosperms
woody-angiosperms,2235,Catalpa bignonioides,southern catalpa,Catalpa,Bignoniaceae,Walt.,/species/catalpa/bignonioides/?pile=woody-angiosperms
woody-angiosperms,772,Catalpa speciosa,northern catalpa,Catalpa,Bignoniaceae,(Warder) Warder ex Engelm.,/species/catalpa/speciosa/?pile=woody-angiosperms
woody-angiosperms,1089,Catalpa ovata,Chinese catalpa,Catalpa,Bignoniaceae,G. Don,/species/catalpa/ovata/?pile=woody-angiosperms
woody-angiosperms,3427,Fagus grandifolia,American beech,Fagus,Fagaceae,Ehrh.,/species/fagus/grandifolia/?pile=woody-angiosperms
woody-angiosperms,11,Castanea dentata,American chestnut,Castanea,Fagaceae,(Marsh.) Borkh.,/species/castanea/dentata/?pile=woody-angiosperms
woody-angiosperms,1680,Castanea sativa,Spanish chestnut,Castanea,Fagaceae,P. Mill.,/species/castanea/sativa/?pile=woody-angiosperms
woody-angiosperms,1691,Castanea mollissima,Chinese chestnut,Castanea,Fagaceae,Blume,/species/castanea/mollissima/?pile=woody-angiosperms
woody-angiosperms,649,Castanea pumila,dwarf chestnut,Castanea,Fagaceae,P. Mill.,/species/castanea/pumila/?pile=woody-angiosperms
woody-angiosperms,3070,Carya tomentosa,mockernut hickory,Carya,Juglandaceae,(Poir. in Lam.) Nutt.,/species/carya/tomentosa/?pile=woody-angiosperms
woody-angiosperms,1513,Carya laciniosa,shellbark hickory,Carya,Juglandaceae,(Michx. f.) Loud.,/species/carya/laciniosa/?pile=woody-angiosperms
woody-angiosperms,1993,Colutea arborescens,bladder-senna,Colutea,Fabaceae,L.,/species/colutea/arborescens/?pile=woody-angiosperms
woody-angiosperms,3407,Caragana arborescens,Siberian pea shrub,Caragana,Fabaceae,Lam.,/species/caragana/arborescens/?pile=woody-angiosperms
woody-angiosperms,3053,Calluna vulgaris,heather,Calluna,Ericaceae,(L.) Hull,/species/calluna/vulgaris/?pile=woody-angiosperms
woody-angiosperms,3284,Betula populifolia,gray birch,Betula,Betulaceae,Marsh.,/species/betula/populifolia/?pile=woody-angiosperms
woody-angiosperms,73,Betula pendula,European weeping birch,Betula,Betulaceae,Roth,/species/betula/pendula/?pile=woody-angiosperms
woody-angiosperms,377,Betula papyrifera,paper birch,Betula,Betulaceae,Marsh.,/species/betula/papyrifera/?pile=woody-angiosperms
woody-angiosperms,1676,Betula nigra,river birch,Betula,Betulaceae,L.,/species/betula/nigra/?pile=woody-angiosperms
woody-angiosperms,927,Betula pubescens,downy birch,Betula,Betulaceae,Ehrh.,/species/betula/pubescens/?pile=woody-angiosperms
woody-angiosperms,334,Betula minor,dwarf birch,Betula,Betulaceae,(Tuckerman) Fern.,/species/betula/minor/?pile=woody-angiosperms
woody-angiosperms,530,Betula glandulosa,glandular birch,Betula,Betulaceae,Michx.,/species/betula/glandulosa/?pile=woody-angiosperms
woody-angiosperms,3324,Betula pumila,bog birch,Betula,Betulaceae,L.,/species/betula/pumila/?pile=woody-angiosperms
woody-angiosperms,330,Betula lenta,cherry birch,Betula,Betulaceae,L.,/species/betula/lenta/?pile=woody-angiosperms
woody-angiosperms,978,Betula alleghaniensis,yellow birch,Betula,Betulaceae,Britt.,/species/betula/alleghaniensis/?pile=woody-angiosperms
woody-angiosperms,389,Berberis koreana,Korea barberry,Berberis,Berberidaceae,Palibin.,/species/berberis/koreana/?pile=woody-angiosperms
woody-angiosperms,2644,Berberis vulgaris,common barberry,Berberis,Berberidaceae,L.,/species/berberis/vulgaris/?pile=woody-angiosperms
woody-angiosperms,329,Berberis thunbergii,Japanese barberry,Berberis,Berberidaceae,DC.,/species/berberis/thunbergii/?pile=woody-angiosperms
woody-angiosperms,1733,Benthamidia florida,flowering big-bracted-dogwood,Benthamidia,Cornaceae,(L.) Spach,/species/benthamidia/florida/?pile=woody-angiosperms
woody-angiosperms,3287,Benthamidia japonica,kousa big-bracted-dogwood,Benthamidia,Cornaceae,(Sieb. & Zucc.) Hara,/species/benthamidia/japonica/?pile=woody-angiosperms
woody-angiosperms,1456,Baccharis halimifolia,eastern false willow,Baccharis,Asteraceae,L.,/species/baccharis/halimifolia/?pile=woody-angiosperms
woody-angiosperms,3063,Artemisia abrotanum,southern wormwood,Artemisia,Asteraceae,L.,/species/artemisia/abrotanum/?pile=woody-angiosperms
woody-angiosperms,309,Arctostaphylos uva-ursi,red bearberry,Arctostaphylos,Ericaceae,(L.) Spreng.,/species/arctostaphylos/uva-ursi/?pile=woody-angiosperms
woody-angiosperms,2146,Arctous alpina,alpine-bearberry,Arctous,Ericaceae,(L.) Nied.,/species/arctous/alpina/?pile=woody-angiosperms
woody-angiosperms,2590,Aralia elata,Japanese angelica-tree,Aralia,Apiaceae,(Miq.) Seem.,/species/aralia/elata/?pile=woody-angiosperms
woody-angiosperms,1227,Aralia spinosa,Hercules'-club,Aralia,Apiaceae,L.,/species/aralia/spinosa/?pile=woody-angiosperms
woody-angiosperms,1178,Viburnum prunifolium,smooth blackhaw,Viburnum,Adoxaceae,L.,/species/viburnum/prunifolium/?pile=woody-angiosperms
woody-angiosperms,1479,Prunus serotina,black cherry,Prunus,Rosaceae,Ehrh.,/species/prunus/serotina/?pile=woody-angiosperms
woody-angiosperms,3226,Artemisia tridentata,big sagebrush,Artemisia,Asteraceae,Nutt.,/species/artemisia/tridentata/?pile=woody-angiosperms
woody-angiosperms,335,Aronia floribunda,purple chokeberry,Aronia,Rosaceae,(Lindl.) Spach,/species/aronia/floribunda/?pile=woody-angiosperms
woody-angiosperms,1897,Amorpha fruticosa,false indigo-bush,Amorpha,Fabaceae,L.,/species/amorpha/fruticosa/?pile=woody-angiosperms
