photo_id,photo_url,species_inat,newcomb_species_name,photo_selection,feature,species_level_true_value,human_visible,human_can_assign_value,human_value_if_assignable,matches_species_level_true_value,difficulty,review_status,exclusion_reason,reviewer,reviewed_at,notes
89166741,https://inaturalist-open-data.s3.amazonaws.com/photos/89166741/original.jpg,Lactuca serriola,Lactuca scariola,KEEP,key_flower_type,7 or More Regular Parts,YES,YES,7 or More Regular Parts,YES,easy,APPROVED,,Lindsey,2026-07-22,
89166741,https://inaturalist-open-data.s3.amazonaws.com/photos/89166741/original.jpg,Lactuca serriola,Lactuca scariola,KEEP,key_plant_type,Wildflowers - Alternate Leaves,YES,YES,Wildflowers - Alternate Leaves,YES,hard,APPROVED,,Lindsey,2026-07-22,
89166741,https://inaturalist-open-data.s3.amazonaws.com/photos/89166741/original.jpg,Lactuca serriola,Lactuca scariola,KEEP,key_leaf_type,Leaves Toothed or Lobed,YES,NO,,UNCLEAR,easy,APPROVED,,Lindsey,2026-07-22,
585802044,https://static.inaturalist.org/photos/585802044/original.jpg,Lactuca serriola,Lactuca scariola,PENDING,key_flower_type,7 or More Regular Parts,,,,,,PENDING,,,,
585802044,https://static.inaturalist.org/photos/585802044/original.jpg,Lactuca serriola,Lactuca scariola,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
585802044,https://static.inaturalist.org/photos/585802044/original.jpg,Lactuca serriola,Lactuca scariola,PENDING,key_leaf_type,Leaves Toothed or Lobed,,,,,,PENDING,,,,
223832752,https://inaturalist-open-data.s3.amazonaws.com/photos/223832752/original.jpg,Lactuca serriola,Lactuca scariola,PENDING,key_flower_type,7 or More Regular Parts,,,,,,PENDING,,,,
223832752,https://inaturalist-open-data.s3.amazonaws.com/photos/223832752/original.jpg,Lactuca serriola,Lactuca scariola,PENDING,key_plant_type,Wildflowers - Alternate Leaves,,,,,,PENDING,,,,
223832752,https://inaturalist-open-data.s3.amazonaws.com/photos/223832752/original.jpg,Lactuca serriola,Lactuca scariola,PENDING,key_leaf_type,Leaves Toothed or Lobed,,,,,,PENDING,,,,
76460834,https://static.inaturalist.org/photos/76460834/original.jpg,Cornus sericea,Cornus stolonifera,KEEP,key_flower_type,4 Regular Parts,YES,YES,4 Regular Parts,YES,hard,APPROVED,,Lindsey,2026-07-22,
76460834,https://static.inaturalist.org/photos/76460834/original.jpg,Cornus sericea,Cornus stolonifera,KEEP,key_plant_type,Shrubs,YES,YES,Shrubs,YES,hard,APPROVED,,Lindsey,2026-07-22,
