newcomb_species_name,species_inat,taxon_id,observation_id,photo_id,photo_url,license,annotations,observed_on,place_guess,num_photos_in_obs,total_obs_available,key_flower_type,key_plant_type,key_leaf_type
Lactuca scariola,Lactuca serriola,53107,55976635,89166741,https://inaturalist-open-data.s3.amazonaws.com/photos/89166741/original.jpg,cc-by-nc,[],2020-08-09,"Shady Canyon, Irvine, CA, US",3,50456,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed
Lactuca scariola,Lactuca serriola,53107,323723318,585802044,https://static.inaturalist.org/photos/585802044/original.jpg,,[],2022-06-13,"Sabugal, PT-GU, PT",1,50456,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed
Lactuca scariola,Lactuca serriola,53107,131520989,223832752,https://inaturalist-open-data.s3.amazonaws.com/photos/223832752/original.jpg,cc-by,"[{'uuid': '510a7c18-cb15-4f4b-baeb-8c26840efeb9', 'controlled_attribute_id': 12, 'controlled_value_id': 14, 'concatenated_attr_val': '12|14', 'user_id': 175837, 'votes': [], 'user': {'id': 175837, 'login': 'tsn', 'spam': False, 'suspended': False, 'created_at': '2016-02-03T23:50:12+00:00', 'login_autocomplete': 'tsn', 'login_exact': 'tsn', 'name': 'Tom Norton', 'name_autocomplete': 'Tom Norton', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/175837/thumb.jpg?1595453055', 'observations_count': 8020, 'identifications_count': 703001, 'journal_posts_count': 0, 'activity_count': 711021, 'species_count': 1076, 'annotated_observations_count': 245793, 'universal_search_rank': 8020, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/175837/medium.jpg?1595453055'}, 'vote_score': 0}]",2022-08-19,"New York Botanical Garden, New York, NY, US",3,50456,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed
Cornus stolonifera,Cornus sericea,53387,48050842,76460834,https://static.inaturalist.org/photos/76460834/original.jpg,,[],2020-05-31,"Spring Lake Park, East Rochester, NY, US",1,49436,4 Regular Parts,Shrubs,Leaves Entire
Cornus stolonifera,Cornus sericea,53387,17994537,27506638,https://inaturalist-open-data.s3.amazonaws.com/photos/27506638/original.jpg,cc-by-nc,[],2018-10-31,"New York County, US-NY, US",3,49436,4 Regular Parts,Shrubs,Leaves Entire
Cornus stolonifera,Cornus sericea,53387,61827252,98982370,https://inaturalist-open-data.s3.amazonaws.com/photos/98982370/original.jpg,cc-by-nc,[],2020-10-05,"Rue Bégin, Chicoutimi, QC, CA",4,49436,4 Regular Parts,Shrubs,Leaves Entire
Hieracium canadense,Hieracium umbellatum,55909,126104192,213925309,https://inaturalist-open-data.s3.amazonaws.com/photos/213925309/original.jpg,cc-by-nc,[],2022-07-13,"Заволжский р-н, Ярославль, Ярославская обл., Россия",1,15777,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed
Hieracium canadense,Hieracium umbellatum,55909,237603959,422891670,https://inaturalist-open-data.s3.amazonaws.com/photos/422891670/original.jpeg,cc-by-nc,[],2024-08-24,"30, Химик Снт, Московская обл., Россия, 143131",1,15777,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed
Hieracium canadense,Hieracium umbellatum,55909,178229477,310096295,https://inaturalist-open-data.s3.amazonaws.com/photos/310096295/original.jpg,cc-by,[],2023-08-11,"Seeadlerweg, Kiel, Schleswig-Holstein, DE",6,15777,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed
Specularia perfoliata,Triodanis perfoliata,64293,44975301,71302942,https://inaturalist-open-data.s3.amazonaws.com/photos/71302942/original.jpeg,cc-by-nc,[],2020-05-04,United States,4,13864,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed
Specularia perfoliata,Triodanis perfoliata,64293,247578410,442206907,https://inaturalist-open-data.s3.amazonaws.com/photos/442206907/original.jpeg,cc-by-nc,[],1988-05-28,"Ohio, US",16,13864,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed
Specularia perfoliata,Triodanis perfoliata,64293,25264602,39114124,https://inaturalist-open-data.s3.amazonaws.com/photos/39114124/original.jpg,cc-by-nc,[],2019-05-17,"9806 Autumn Path Ct, Fredericksburg, VA, US",1,13864,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed
Disporum lanuginosum,Prosartes lanuginosa,68913,234497042,416888165,https://static.inaturalist.org/photos/416888165/original.jpeg,,"[{'uuid': 'e24a47be-83c3-474d-8301-00f03b721010', 'controlled_attribute_id': 12, 'controlled_value_id': 14, 'concatenated_attr_val': '12|14', 'user_id': 1687565, 'votes': [], 'user': {'id': 1687565, 'login': 'ericschill', 'spam': False, 'suspended': False, 'created_at': '2019-04-28T02:05:15+00:00', 'login_autocomplete': 'ericschill', 'login_exact': 'ericschill', 'name': 'Eric Schill', 'name_autocomplete': 'Eric Schill', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/1687565/thumb.jpeg?1655594067', 'observations_count': 16467, 'identifications_count': 1979, 'journal_posts_count': 1, 'activity_count': 18447, 'species_count': 2952, 'annotated_observations_count': 454, 'universal_search_rank': 16467, 'roles': [], 'site_id': None, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/1687565/medium.jpeg?1655594067'}, 'vote_score': 0}, {'uuid': '3e2a8667-4d72-41ff-a659-21186404993d', 'controlled_attribute_id': 36, 'controlled_value_id': 38, 'concatenated_attr_val': '36|38', 'user_id': 1687565, 'votes': [], 'user': {'id': 1687565, 'login': 'ericschill', 'spam': False, 'suspended': False, 'created_at': '2019-04-28T02:05:15+00:00', 'login_autocomplete': 'ericschill', 'login_exact': 'ericschill', 'name': 'Eric Schill', 'name_autocomplete': 'Eric Schill', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/1687565/thumb.jpeg?1655594067', 'observations_count': 16467, 'identifications_count': 1979, 'journal_posts_count': 1, 'activity_count': 18447, 'species_count': 2952, 'annotated_observations_count': 454, 'universal_search_rank': 16467, 'roles': [], 'site_id': None, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/1687565/medium.jpeg?1655594067'}, 'vote_score': 0}]",2024-08-08,"Pisgah National Forest, Candler, NC, US",1,2639,6 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire
Disporum lanuginosum,Prosartes lanuginosa,68913,43494782,69004407,https://inaturalist-open-data.s3.amazonaws.com/photos/69004407/original.jpg,cc-by-nc,"[{'user_id': 1179956, 'concatenated_attr_val': '12|13', 'controlled_attribute_id': 12, 'votes': [], 'uuid': '21dc44a1-b1e5-46ba-89ee-6dce0a280f33', 'vote_score': 0, 'controlled_value_id': 13, 'user': {'id': 1179956, 'login': 'jdietrch', 'spam': False, 'suspended': False, 'created_at': '2018-09-02T21:29:34+00:00', 'login_autocomplete': 'jdietrch', 'login_exact': 'jdietrch', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': None, 'observations_count': 1332, 'identifications_count': 10619, 'journal_posts_count': 0, 'activity_count': 11951, 'species_count': 1273, 'annotated_observations_count': 1098, 'universal_search_rank': 1332, 'roles': [], 'site_id': 1, 'icon_url': None}}]",2020-04-25,"Hamilton County, TN, USA",3,2639,6 Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire
