group_number,flower_type_label,plant_type_label,leaf_type_label,sub_group_1,sub_group_2,sub_group_3,description,page_number,extractor_warning
111,Irregular Flowers,Wildflowers - No Apparent Leaves,No Apparent Leaves,,,,Aquatic plants of ponds and wet shores,16,0
111,Irregular Flowers,Wildflowers - No Apparent Leaves,No Apparent Leaves,Not aquatic,,,Plants with a single flower,16,0
111,Irregular Flowers,Wildflowers - No Apparent Leaves,No Apparent Leaves,Not aquatic,,,Flowers in spikes or racemes,18,0
122,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Entire,,,,Leaves with a heart- or arrow-shaped base,20,0
122,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Entire,,,,"Leaf solitary, not heart- or arrow-shaped",20,0
122,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Entire,,,,"Leaves 2, large and broad",22,0
122,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Entire,,,,"Leaves more than 2 (normally), not heart- or arrow-shaped",24,0
123,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Toothed or Lobed,,,,White or yellow flowers,28,0
123,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Toothed or Lobed,,,,"Blue, violet or purple flowers",30,0
124,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Divided,,,,Leaves divided into narrow segments,34,0
124,Irregular Flowers,Wildflowers - Basal Leaves Only,Leaves Divided,,,,Leaves divided into 3 or more leaflets,36,0
132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,Flowers growing singly or 2-4 in a cluster,,,Orchids with crested or pouched lip,38,0
132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,Flowers growing singly or 2-4 in a cluster,,,Otherwise,40,0
132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,"Flowers in spikes, racemes or heads",,,Flowers spurred (Rein Orchids),42,0
132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,"Flowers in spikes, racemes or heads",,,Flowers not spurred,46,0
132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,"Flowers in spikes, racemes or heads",,,Yellow or orange flowers,48,0
132,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Entire,"Flowers in spikes, racemes or heads",,,Blue flowers,50,0
133,Irregular Flowers,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,,,,Flowers short-stalked or stalkless,52,0
