newcomb_species_name,species_page,species_inat,subspecies_inat,suggested_species_id,species_inat_link,subspecies_inat_link,multiple_species,multiple_subspecies,warning_species_extraction
Acnida cannabina,414.0,Amaranthus cannabinus,,Amaranthus cannabinus,https://www.inaturalist.org/taxa/145530,,0.0,0.0,0.0
Acorus calamus,398.0,Acorus americanus,,,https://www.inaturalist.org/taxa/157984,,1.0,0.0,0.0
Acorus calamus,398.0,Acorus calamus,,,https://www.inaturalist.org/taxa/82306,,1.0,0.0,0.0
Actinomeris alternifolia,376.0,Verbesina alternifolia,,Verbesina alternifolia,https://www.inaturalist.org/taxa/117442,,0.0,0.0,0.0
Agastache scrophulariaefolia,84.0,Agastache scrophulariifolia,,Agastache scrophulariifolia,https://www.inaturalist.org/taxa/158084,https://www.inaturalist.org/taxa/158084,0.0,0.0,0.0
Alliaria officinalis,138.0,Alliaria petiolata,,Alliaria petiolata,https://www.inaturalist.org/taxa/56061,,0.0,0.0,0.0
Amaranthus graecizans,406.0,Amaranthus blitoides,,Amaranthus blitoides,https://www.inaturalist.org/taxa/58774,https://www.inaturalist.org/taxa/58774,0.0,0.0,0.0
Amianthium muscaetoxicum,334.0,Amianthium muscitoxicum,,Amianthium muscitoxicum,https://www.inaturalist.org/taxa/83015,,0.0,0.0,0.0
Amphicarpa bracteata,110.0,Amphicarpaea bracteata,,Amphicarpaea bracteata,https://www.inaturalist.org/taxa/85485,,0.0,0.0,0.0
Anagallis arvensis,270.0,Lysimachia arvensis,,Lysimachia arvensis,https://www.inaturalist.org/taxa/791928,https://www.inaturalist.org/taxa/791928,0.0,0.0,0.0
Andromeda glaucophylla,292.0,Andromeda polifolia,var.polifolia,Andromeda polifolia,https://www.inaturalist.org/taxa/119892,,0.0,0.0,0.0
Anemone canadensis,280.0,Anemonastrum canadense,,Anemonastrum canadense,https://www.inaturalist.org/taxa/881527,,0.0,0.0,0.0
Anemone lancifolia,288.0,Anemonoides lancifolia,,Anemonoides lancifolia,https://www.inaturalist.org/taxa/950605,,0.0,0.0,0.0
Anemone quinquefolia,288.0,Anemonoides quinquefolia,,Anemonoides quinquefolia,https://www.inaturalist.org/taxa/950598,,0.0,0.0,0.0
Anemone riparia,288.0,Anemone virginiana,var.alba,Anemone virginiana,https://www.inaturalist.org/taxa/126369,https://www.inaturalist.org/taxa/950756,0.0,0.0,0.0
Anemonella thalictroides,392.0,Thalictrum thalictroides,,Thalictrum thalictroides,https://www.inaturalist.org/taxa/118548,,0.0,0.0,0.0
Antennaria canadensis,400.0,Antennaria howellii,,Antennaria howellii ssp. canadensis,https://www.inaturalist.org/taxa/75463,,1.0,0.0,0.0
Antennaria canadensis,400.0,ssp. canadensis,,Antennaria howellii ssp. canadensis,https://www.inaturalist.org/taxa/234276,https://www.inaturalist.org/taxa/234276,1.0,0.0,0.0
Antennaria neodioica,400.0,ssp. neodioica,,Antennaria howellii ssp. neodioica,https://www.inaturalist.org/taxa/234278,https://www.inaturalist.org/taxa/234278,1.0,0.0,0.0
Antennaria neodioica,400.0,ssp. petaloidea,,,,,1.0,0.0,0.0
Antennaria neodioica,400.0,Antennaria parlinii,,,https://www.inaturalist.org/taxa/158413,,1.0,0.0,0.0
Antennaria neodioica,400.0,Antennaria parlinii,ssp. fallax,,,,1.0,0.0,0.0
Antennaria parlinii,400.0,Antennaria parlinii,ssp. parlinii,Antennaria parlinii ssp. parlinii,https://www.inaturalist.org/taxa/234285,https://www.inaturalist.org/taxa/234285,0.0,0.0,0.0
Apocynum cannabinum,250.0,Apocynum cannabinum,,Apocynum cannabinum,https://www.inaturalist.org/taxa/58795,,0.0,0.0,0.0
Apocynum medium,250.0,Apocynum ×floribundum,,Apocynum ×floribundum,https://www.inaturalist.org/taxa/170490,https://www.inaturalist.org/taxa/170490,0.0,0.0,1.0
