gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
6274084689	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/357038081	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Cardamine	Cardamine pratensis		SPECIES	Cardamine pratensis L.	Cardamine pratensis		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.229433	-73.580474							2026-04-30T15:11	30	4	2026	7972010	7972010	HUMAN_OBSERVATION	iNaturalist	Observations	357038081		Patricia Butter	2026-05-01T01:54:58	CC_BY_NC_4_0	Patricia Butter	Patricia Butter			2026-05-19T13:57:41.678Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273900345	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358889475	Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus	Cornus sericea		SPECIES	Cornus sericea L.	Cornus sericea		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.239666	-73.607468	14.0						2026-05-06T08:04:55	6	5	2026	3082244	3082244	HUMAN_OBSERVATION	iNaturalist	Observations	358889475		barbedani	2026-05-06T12:05:10	CC_BY_NC_4_0	barbedani	barbedani			2026-05-19T14:15:37.519Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273899536	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358454416	Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Panax	Panax trifolius		SPECIES	Panax trifolius L.	Panax trifolius		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.25783	-73.575837	4.0						2026-05-04T13:29:26	4	5	2026	5372277	5372277	HUMAN_OBSERVATION	iNaturalist	Observations	358454416		Uri Sarig	2026-05-04T23:38:07	CC_BY_NC_4_0	Uri Sarig	Uri Sarig			2026-05-19T14:19:39.020Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273850718	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358455968	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Berberidaceae	Caulophyllum	Caulophyllum thalictroides		SPECIES	Caulophyllum thalictroides (L.) Michx.	Caulophyllum thalictroides		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.242737	-73.566038	4.0						2026-05-04T14:43:47	4	5	2026	3033920	3033920	HUMAN_OBSERVATION	iNaturalist	Observations	358455968		Uri Sarig	2026-05-04T23:45:22	CC_BY_NC_4_0	Uri Sarig	Uri Sarig			2026-05-19T13:50:53.690Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273813386	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358456983	Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Lysimachia	Lysimachia borealis		SPECIES	Lysimachia borealis (Raf.) U.Manns & Anderb.	Lysimachia borealis		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.247762	-73.567008	4.0						2026-05-04T15:17:38	4	5	2026	7983163	7983163	HUMAN_OBSERVATION	iNaturalist	Observations	358456983		Uri Sarig	2026-05-04T23:50:01	CC_BY_NC_4_0	Uri Sarig	Uri Sarig			2026-05-19T13:50:50.055Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273679870	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/359377541	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	Carex scabrata		SPECIES	Carex scabrata Schwein.	Carex scabrata		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.240611	-73.577477	4.0						2025-05-24T14:48	24	5	2025	2725516	2725516	HUMAN_OBSERVATION	iNaturalist	Observations	359377541		Zihao Wang	2026-05-08T00:42:15	CC_BY_4_0	Zihao Wang	Zihao Wang			2026-05-19T13:48:35.844Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273602815	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358997165	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Maianthemum	Maianthemum canadense		SPECIES	Maianthemum canadense Desf.	Maianthemum canadense		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.235301	-73.580129	4.0						2026-05-02T15:23:33	2	5	2026	2769544	2769544	HUMAN_OBSERVATION	iNaturalist	Observations	358997165		Alexandra Srikacha	2026-05-06T18:54:22	CC_BY_NC_4_0	Alexandra Srikacha	Alexandra Srikacha			2026-05-19T14:00:53.999Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273569682	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/297080520	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Lindera	Lindera benzoin		SPECIES	Lindera benzoin (L.) Blume	Lindera benzoin		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.257722	-73.589308	42.0						2025-07-11T13:20:07	11	7	2025	5371740	5371740	HUMAN_OBSERVATION	iNaturalist	Observations	297080520		Adele Philippides	2026-04-09T21:58:04	CC_BY_NC_4_0	Juliana Cardillo-Marsico	Juliana Cardillo-Marsico			2026-05-19T13:35:55.571Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273566498	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358449200	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	Symplocarpus	Symplocarpus foetidus		SPECIES	Symplocarpus foetidus (L.) Salisb. ex W.P.C.Barton	Symplocarpus foetidus		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.234156	-73.600492							2026-05-04T14:38:11	4	5	2026	2870117	2870117	HUMAN_OBSERVATION	iNaturalist	Observations	358449200		Lynn Harper	2026-05-05T15:24:12	CC_BY_NC_4_0	JoAnn Brereton	JoAnn Brereton			2026-05-19T14:04:42.004Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6273547549	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/358780286	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rhodotypos	Rhodotypos scandens		SPECIES	Rhodotypos scandens (Thunb.) Makino	Rhodotypos scandens		US		New York	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.244889	-73.583482	1287.0						2026-04-26T14:24	26	4	2026	3032442	3032442	HUMAN_OBSERVATION	iNaturalist	Observations	358780286		grackleluvr	2026-05-06T00:57:50	CC_BY_NC_4_0	grackleluvr	grackleluvr			2026-05-19T14:19:25.241Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
