model,blind_mc_accuracy,no_reference_photos_accuracy,accuracy_delta
anthropic/claude-haiku-4-5,,0.5294117647058824,
anthropic/claude-sonnet-4-6,,0.6470588235294118,
claude-haiku-4-5,0.5882352941176471,,
claude-sonnet-4-6,0.8235294117647058,,
gemini-3-flash-preview,1.0,,
gemini-3.1-pro-preview,0.8823529411764706,,
google/gemini-3-flash-preview,,0.7647058823529411,
google/gemini-3.1-pro-preview,,0.5882352941176471,
gpt-4o-mini,0.8235294117647058,,
gpt-5-mini,0.8823529411764706,,
openai/gpt-4o-mini,,0.4117647058823529,
openai/gpt-5-mini,,0.47058823529411764,
