model,feature,blind_mc_accuracy,no_reference_photos_accuracy,accuracy_delta
anthropic/claude-haiku-4-5,key_flower_type,,0.5714285714285714,
anthropic/claude-haiku-4-5,key_leaf_type,,0.75,
anthropic/claude-haiku-4-5,key_plant_type,,0.3333333333333333,
anthropic/claude-sonnet-4-6,key_flower_type,,0.7142857142857143,
anthropic/claude-sonnet-4-6,key_leaf_type,,0.75,
anthropic/claude-sonnet-4-6,key_plant_type,,0.5,
claude-haiku-4-5,key_flower_type,0.5714285714285714,,
claude-haiku-4-5,key_leaf_type,0.5,,
claude-haiku-4-5,key_plant_type,0.6666666666666666,,
claude-sonnet-4-6,key_flower_type,0.8571428571428571,,
claude-sonnet-4-6,key_leaf_type,0.75,,
claude-sonnet-4-6,key_plant_type,0.8333333333333334,,
gemini-3-flash-preview,key_flower_type,1.0,,
gemini-3-flash-preview,key_leaf_type,1.0,,
gemini-3-flash-preview,key_plant_type,1.0,,
gemini-3.1-pro-preview,key_flower_type,1.0,,
gemini-3.1-pro-preview,key_leaf_type,0.75,,
gemini-3.1-pro-preview,key_plant_type,0.8333333333333334,,
google/gemini-3-flash-preview,key_flower_type,,0.7142857142857143,
google/gemini-3-flash-preview,key_leaf_type,,0.75,
google/gemini-3-flash-preview,key_plant_type,,0.8333333333333334,
google/gemini-3.1-pro-preview,key_flower_type,,0.42857142857142855,
google/gemini-3.1-pro-preview,key_leaf_type,,0.75,
google/gemini-3.1-pro-preview,key_plant_type,,0.6666666666666666,
gpt-4o-mini,key_flower_type,0.7142857142857143,,
gpt-4o-mini,key_leaf_type,1.0,,
gpt-4o-mini,key_plant_type,0.8333333333333334,,
gpt-5-mini,key_flower_type,0.8571428571428571,,
gpt-5-mini,key_leaf_type,1.0,,
gpt-5-mini,key_plant_type,0.8333333333333334,,
openai/gpt-4o-mini,key_flower_type,,0.2857142857142857,
openai/gpt-4o-mini,key_leaf_type,,0.75,
openai/gpt-4o-mini,key_plant_type,,0.3333333333333333,
openai/gpt-5-mini,key_flower_type,,0.42857142857142855,
openai/gpt-5-mini,key_leaf_type,,0.5,
openai/gpt-5-mini,key_plant_type,,0.5,
