model,n,correct_count,accuracy
anthropic/claude-haiku-4-5,17,9,0.5294117647058824
anthropic/claude-sonnet-4-6,17,11,0.6470588235294118
claude-haiku-4-5,51,39,0.7647058823529411
claude-sonnet-4-6,51,38,0.7450980392156863
gemini-3-flash-preview,51,49,0.9607843137254902
gemini-3.1-pro-preview,51,46,0.9019607843137255
google/gemini-3-flash-preview,17,13,0.7647058823529411
google/gemini-3.1-pro-preview,17,10,0.5882352941176471
gpt-4o-mini,51,41,0.803921568627451
gpt-5-mini,51,41,0.803921568627451
openai/gpt-4o-mini,17,7,0.4117647058823529
openai/gpt-5-mini,17,8,0.47058823529411764
