model,prompt_type,n,correct_count,accuracy
anthropic/claude-haiku-4-5,blind_mc_no_reference_photos,17,9,0.5294117647058824
anthropic/claude-sonnet-4-6,blind_mc_no_reference_photos,17,11,0.6470588235294118
claude-haiku-4-5,agreement,17,12,0.7058823529411765
claude-haiku-4-5,blind_mc,17,10,0.5882352941176471
claude-haiku-4-5,existence,17,17,1.0
claude-sonnet-4-6,agreement,17,8,0.47058823529411764
claude-sonnet-4-6,blind_mc,17,14,0.8235294117647058
claude-sonnet-4-6,existence,17,16,0.9411764705882353
gemini-3-flash-preview,agreement,17,15,0.8823529411764706
gemini-3-flash-preview,blind_mc,17,17,1.0
gemini-3-flash-preview,existence,17,17,1.0
gemini-3.1-pro-preview,agreement,17,15,0.8823529411764706
gemini-3.1-pro-preview,blind_mc,17,15,0.8823529411764706
gemini-3.1-pro-preview,existence,17,16,0.9411764705882353
google/gemini-3-flash-preview,blind_mc_no_reference_photos,17,13,0.7647058823529411
google/gemini-3.1-pro-preview,blind_mc_no_reference_photos,17,10,0.5882352941176471
gpt-4o-mini,agreement,17,11,0.6470588235294118
gpt-4o-mini,blind_mc,17,14,0.8235294117647058
gpt-4o-mini,existence,17,16,0.9411764705882353
gpt-5-mini,agreement,17,10,0.5882352941176471
gpt-5-mini,blind_mc,17,15,0.8823529411764706
gpt-5-mini,existence,17,16,0.9411764705882353
openai/gpt-4o-mini,blind_mc_no_reference_photos,17,7,0.4117647058823529
openai/gpt-5-mini,blind_mc_no_reference_photos,17,8,0.47058823529411764
