model,prompt_type,feature,n,correct_count,accuracy
claude-haiku-4-5,agreement,key_flower_type,7,5,0.7142857142857143
claude-haiku-4-5,agreement,key_leaf_type,4,3,0.75
claude-haiku-4-5,agreement,key_plant_type,6,4,0.6666666666666666
claude-haiku-4-5,blind_mc,key_flower_type,7,4,0.5714285714285714
claude-haiku-4-5,blind_mc,key_leaf_type,4,2,0.5
claude-haiku-4-5,blind_mc,key_plant_type,6,4,0.6666666666666666
claude-haiku-4-5,blind_mc_no_reference_photos,key_flower_type,7,4,0.5714285714285714
claude-haiku-4-5,blind_mc_no_reference_photos,key_leaf_type,4,3,0.75
claude-haiku-4-5,blind_mc_no_reference_photos,key_plant_type,6,2,0.3333333333333333
claude-haiku-4-5,existence,key_flower_type,7,7,1.0
claude-haiku-4-5,existence,key_leaf_type,4,4,1.0
claude-haiku-4-5,existence,key_plant_type,6,6,1.0
claude-sonnet-4-6,agreement,key_flower_type,7,2,0.2857142857142857
claude-sonnet-4-6,agreement,key_leaf_type,4,3,0.75
claude-sonnet-4-6,agreement,key_plant_type,6,3,0.5
claude-sonnet-4-6,blind_mc,key_flower_type,7,6,0.8571428571428571
claude-sonnet-4-6,blind_mc,key_leaf_type,4,3,0.75
claude-sonnet-4-6,blind_mc,key_plant_type,6,5,0.8333333333333334
claude-sonnet-4-6,blind_mc_no_reference_photos,key_flower_type,7,5,0.7142857142857143
claude-sonnet-4-6,blind_mc_no_reference_photos,key_leaf_type,4,3,0.75
claude-sonnet-4-6,blind_mc_no_reference_photos,key_plant_type,6,3,0.5
claude-sonnet-4-6,existence,key_flower_type,7,6,0.8571428571428571
claude-sonnet-4-6,existence,key_leaf_type,4,4,1.0
claude-sonnet-4-6,existence,key_plant_type,6,6,1.0
gemini-3-flash-preview,agreement,key_flower_type,7,6,0.8571428571428571
gemini-3-flash-preview,agreement,key_leaf_type,4,3,0.75
gemini-3-flash-preview,agreement,key_plant_type,6,6,1.0
gemini-3-flash-preview,blind_mc,key_flower_type,7,7,1.0
gemini-3-flash-preview,blind_mc,key_leaf_type,4,4,1.0
gemini-3-flash-preview,blind_mc,key_plant_type,6,6,1.0
gemini-3-flash-preview,blind_mc_no_reference_photos,key_flower_type,7,5,0.7142857142857143
gemini-3-flash-preview,blind_mc_no_reference_photos,key_leaf_type,4,3,0.75
gemini-3-flash-preview,blind_mc_no_reference_photos,key_plant_type,6,5,0.8333333333333334
gemini-3-flash-preview,existence,key_flower_type,7,7,1.0
gemini-3-flash-preview,existence,key_leaf_type,4,4,1.0
gemini-3-flash-preview,existence,key_plant_type,6,6,1.0
gemini-3.1-pro-preview,agreement,key_flower_type,7,6,0.8571428571428571
gemini-3.1-pro-preview,agreement,key_leaf_type,4,3,0.75
gemini-3.1-pro-preview,agreement,key_plant_type,6,6,1.0
gemini-3.1-pro-preview,blind_mc,key_flower_type,7,7,1.0
gemini-3.1-pro-preview,blind_mc,key_leaf_type,4,3,0.75
gemini-3.1-pro-preview,blind_mc,key_plant_type,6,5,0.8333333333333334
gemini-3.1-pro-preview,blind_mc_no_reference_photos,key_flower_type,7,3,0.42857142857142855
gemini-3.1-pro-preview,blind_mc_no_reference_photos,key_leaf_type,4,3,0.75
gemini-3.1-pro-preview,blind_mc_no_reference_photos,key_plant_type,6,4,0.6666666666666666
gemini-3.1-pro-preview,existence,key_flower_type,7,7,1.0
gemini-3.1-pro-preview,existence,key_leaf_type,4,4,1.0
gemini-3.1-pro-preview,existence,key_plant_type,6,5,0.8333333333333334
gpt-4o-mini,agreement,key_flower_type,7,6,0.8571428571428571
gpt-4o-mini,agreement,key_leaf_type,4,3,0.75
gpt-4o-mini,agreement,key_plant_type,6,2,0.3333333333333333
gpt-4o-mini,blind_mc,key_flower_type,7,5,0.7142857142857143
gpt-4o-mini,blind_mc,key_leaf_type,4,4,1.0
gpt-4o-mini,blind_mc,key_plant_type,6,5,0.8333333333333334
gpt-4o-mini,blind_mc_no_reference_photos,key_flower_type,7,2,0.2857142857142857
gpt-4o-mini,blind_mc_no_reference_photos,key_leaf_type,4,3,0.75
gpt-4o-mini,blind_mc_no_reference_photos,key_plant_type,6,2,0.3333333333333333
gpt-4o-mini,existence,key_flower_type,7,7,1.0
gpt-4o-mini,existence,key_leaf_type,4,4,1.0
gpt-4o-mini,existence,key_plant_type,6,5,0.8333333333333334
gpt-5-mini,agreement,key_flower_type,7,4,0.5714285714285714
gpt-5-mini,agreement,key_leaf_type,4,2,0.5
gpt-5-mini,agreement,key_plant_type,6,4,0.6666666666666666
gpt-5-mini,blind_mc,key_flower_type,7,6,0.8571428571428571
gpt-5-mini,blind_mc,key_leaf_type,4,4,1.0
gpt-5-mini,blind_mc,key_plant_type,6,5,0.8333333333333334
gpt-5-mini,blind_mc_no_reference_photos,key_flower_type,7,3,0.42857142857142855
gpt-5-mini,blind_mc_no_reference_photos,key_leaf_type,4,2,0.5
gpt-5-mini,blind_mc_no_reference_photos,key_plant_type,6,3,0.5
gpt-5-mini,existence,key_flower_type,7,7,1.0
gpt-5-mini,existence,key_leaf_type,4,4,1.0
gpt-5-mini,existence,key_plant_type,6,5,0.8333333333333334
