model,prompt_type,n,correct_count,accuracy
anthropic/claude-haiku-4-5,existence,17,17,1.0
anthropic/claude-haiku-4-5,agreement,17,8,0.47058823529411764
anthropic/claude-haiku-4-5,blind_mc,17,10,0.5882352941176471
anthropic/claude-sonnet-4-6,existence,17,16,0.9411764705882353
anthropic/claude-sonnet-4-6,agreement,17,13,0.7647058823529411
anthropic/claude-sonnet-4-6,blind_mc,17,14,0.8235294117647058
google/gemini-3-flash-preview,existence,17,17,1.0
google/gemini-3-flash-preview,agreement,17,17,1.0
google/gemini-3-flash-preview,blind_mc,17,15,0.8823529411764706
google/gemini-3.1-pro-preview,existence,17,17,1.0
google/gemini-3.1-pro-preview,agreement,17,13,0.7647058823529411
google/gemini-3.1-pro-preview,blind_mc,17,13,0.7647058823529411
openai/gpt-4o-mini,existence,17,13,0.7647058823529411
openai/gpt-4o-mini,agreement,17,6,0.35294117647058826
openai/gpt-4o-mini,blind_mc,17,14,0.8235294117647058
openai/gpt-5-mini,existence,17,6,0.35294117647058826
openai/gpt-5-mini,agreement,17,10,0.5882352941176471
openai/gpt-5-mini,blind_mc,17,8,0.47058823529411764
