dataset,row_id,photo_id,feature,expected_p1,predicted_p1,expected_p2,predicted_p2,detector_score,sam_iou,graph_candidate_count,graph_candidate_reduction,true_species_retained,row_directory,steps_json
calibration,key_flower_type_3-regular-parts,57834500,key_flower_type,YES,YES,3 Regular Parts,3 Regular Parts,0.397574,0.98619,3,0.992248,,rows/key_flower_type_3-regular-parts,rows/key_flower_type_3-regular-parts/steps.json
calibration,key_flower_type_4-regular-parts,310472154,key_flower_type,YES,YES,4 Regular Parts,4 Regular Parts,0.491274,0.99171,44,0.886305,,rows/key_flower_type_4-regular-parts,rows/key_flower_type_4-regular-parts/steps.json
calibration,key_flower_type_5-regular-parts,424459597,key_flower_type,YES,YES,5 Regular Parts,5 Regular Parts,0.471908,0.95895,140,0.638243,,rows/key_flower_type_5-regular-parts,rows/key_flower_type_5-regular-parts/steps.json
calibration,key_flower_type_6-regular-parts,80342041,key_flower_type,YES,YES,6 Regular Parts,6 Regular Parts,0.391875,0.918128,14,0.963824,,rows/key_flower_type_6-regular-parts,rows/key_flower_type_6-regular-parts/steps.json
calibration,key_flower_type_7-or-more-regular-parts,222876592,key_flower_type,YES,YES,7 or More Regular Parts,7 or More Regular Parts,0.545403,0.964324,45,0.883721,,rows/key_flower_type_7-or-more-regular-parts,rows/key_flower_type_7-or-more-regular-parts/steps.json
calibration,key_flower_type_parts-indistinguishable,52243420,key_flower_type,YES,YES,Parts Indistinguishable,Parts Indistinguishable,0.409644,0.86316,58,0.850129,,rows/key_flower_type_parts-indistinguishable,rows/key_flower_type_parts-indistinguishable/steps.json
calibration,key_flower_type_irregular-flowers,196377999,key_flower_type,YES,YES,Irregular Flowers,Irregular Flowers,0.539248,0.987375,83,0.78553,,rows/key_flower_type_irregular-flowers,rows/key_flower_type_irregular-flowers/steps.json
calibration,key_plant_type_wildflowers---alternate-leaves,307163812,key_plant_type,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,0.502807,,184,0.524548,,rows/key_plant_type_wildflowers---alternate-leaves,rows/key_plant_type_wildflowers---alternate-leaves/steps.json
calibration,key_plant_type_wildflowers---no-apparent-leaves,50286623,key_plant_type,YES,YES,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,0.464902,,11,0.971576,,rows/key_plant_type_wildflowers---no-apparent-leaves,rows/key_plant_type_wildflowers---no-apparent-leaves/steps.json
calibration,key_plant_type_wildflowers---opposite-or-whorled-leaves,421678053,key_plant_type,YES,YES,Wildflowers - Opposite or Whorled Leaves,Wildflowers - Opposite or Whorled Leaves,0.48531,,96,0.751938,,rows/key_plant_type_wildflowers---opposite-or-whorled-leaves,rows/key_plant_type_wildflowers---opposite-or-whorled-leaves/steps.json
calibration,key_plant_type_wildflowers---basal-leaves-only,396753070,key_plant_type,YES,YES,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,0.549208,,50,0.870801,,rows/key_plant_type_wildflowers---basal-leaves-only,rows/key_plant_type_wildflowers---basal-leaves-only/steps.json
calibration,key_plant_type_vines,116667850,key_plant_type,YES,YES,Vines,Vines,0.374117,,14,0.963824,,rows/key_plant_type_vines,rows/key_plant_type_vines/steps.json
calibration,key_plant_type_shrubs,392514942,key_plant_type,YES,YES,Shrubs,Shrubs,0.471202,,32,0.917313,,rows/key_plant_type_shrubs,rows/key_plant_type_shrubs/steps.json
calibration,key_leaf_type_leaves-entire,139502186,key_leaf_type,YES,YES,Leaves Entire,Leaves Entire,0.488041,0.982984,179,0.537468,,rows/key_leaf_type_leaves-entire,rows/key_leaf_type_leaves-entire/steps.json
calibration,key_leaf_type_no-apparent-leaves,50286623,key_leaf_type,YES,YES,No Apparent Leaves,Cannot determine from this image,0.348731,0.899247,387,0.0,,rows/key_leaf_type_no-apparent-leaves,rows/key_leaf_type_no-apparent-leaves/steps.json
calibration,key_leaf_type_leaves-toothed-or-lobed,307213903,key_leaf_type,YES,YES,Leaves Toothed or Lobed,Leaves Toothed or Lobed,0.479681,0.984642,123,0.682171,,rows/key_leaf_type_leaves-toothed-or-lobed,rows/key_leaf_type_leaves-toothed-or-lobed/steps.json
calibration,key_leaf_type_leaves-divided,127978485,key_leaf_type,YES,YES,Leaves Divided,Leaves Divided,0.466199,0.978265,73,0.81137,,rows/key_leaf_type_leaves-divided,rows/key_leaf_type_leaves-divided/steps.json
