dataset,row_id,photo_id,feature,expected_p1,predicted_p1,expected_p2,predicted_p2,detector_score,sam_iou,graph_candidate_count,graph_candidate_reduction,true_species_retained,row_directory,steps_json
benchmark_10,213925309_key_flower_type,213925309,key_flower_type,YES,YES,7 or More Regular Parts,Parts Indistinguishable,0.417192,0.940328,23,0.940568,False,rows/213925309_key_flower_type,rows/213925309_key_flower_type/steps.json
benchmark_10,213925309_key_plant_type,213925309,key_plant_type,YES,YES,Wildflowers - Alternate Leaves,Cannot determine from this image,0.473121,,23,0.940568,False,rows/213925309_key_plant_type,rows/213925309_key_plant_type/steps.json
benchmark_10,213925309_key_leaf_type,213925309,key_leaf_type,YES,YES,Leaves Toothed or Lobed,Leaves Entire,0.349435,0.960005,23,0.940568,False,rows/213925309_key_leaf_type,rows/213925309_key_leaf_type/steps.json
benchmark_10,239106401_key_flower_type,239106401,key_flower_type,NO,YES,,Parts Indistinguishable,0.447873,0.924186,23,0.940568,False,rows/239106401_key_flower_type,rows/239106401_key_flower_type/steps.json
benchmark_10,239106401_key_plant_type,239106401,key_plant_type,YES,YES,,Cannot determine from this image,0.514079,,23,0.940568,False,rows/239106401_key_plant_type,rows/239106401_key_plant_type/steps.json
benchmark_10,239106401_key_leaf_type,239106401,key_leaf_type,NO,YES,,Leaves Entire,0.280949,0.926353,23,0.940568,False,rows/239106401_key_leaf_type,rows/239106401_key_leaf_type/steps.json
benchmark_10,291303849_key_flower_type,291303849,key_flower_type,NO,YES,,4 Regular Parts,0.444242,0.878966,10,0.97416,False,rows/291303849_key_flower_type,rows/291303849_key_flower_type/steps.json
benchmark_10,291303849_key_plant_type,291303849,key_plant_type,YES,YES,Shrubs,Wildflowers - Opposite or Whorled Leaves,0.4114,,10,0.97416,False,rows/291303849_key_plant_type,rows/291303849_key_plant_type/steps.json
benchmark_10,291303849_key_leaf_type,291303849,key_leaf_type,YES,YES,Leaves Divided,Leaves Entire,0.457007,0.984042,10,0.97416,False,rows/291303849_key_leaf_type,rows/291303849_key_leaf_type/steps.json
benchmark_10,416888165_key_flower_type,416888165,key_flower_type,NO,YES,,Irregular Flowers,0.231844,0.976254,23,0.940568,False,rows/416888165_key_flower_type,rows/416888165_key_flower_type/steps.json
benchmark_10,416888165_key_plant_type,416888165,key_plant_type,YES,YES,,Wildflowers - Alternate Leaves,0.468878,,23,0.940568,False,rows/416888165_key_plant_type,rows/416888165_key_plant_type/steps.json
benchmark_10,416888165_key_leaf_type,416888165,key_leaf_type,YES,YES,Leaves Entire,Leaves Entire,0.377855,0.982781,23,0.940568,False,rows/416888165_key_leaf_type,rows/416888165_key_leaf_type/steps.json
benchmark_10,5380876_key_flower_type,5380876,key_flower_type,NO,YES,,4 Regular Parts,0.34619,0.962807,16,0.958656,False,rows/5380876_key_flower_type,rows/5380876_key_flower_type/steps.json
benchmark_10,5380876_key_plant_type,5380876,key_plant_type,YES,YES,,Wildflowers - Opposite or Whorled Leaves,0.567746,,16,0.958656,False,rows/5380876_key_plant_type,rows/5380876_key_plant_type/steps.json
benchmark_10,5380876_key_leaf_type,5380876,key_leaf_type,YES,YES,Leaves Entire,Cannot determine from this image,0.356527,0.967242,16,0.958656,False,rows/5380876_key_leaf_type,rows/5380876_key_leaf_type/steps.json
benchmark_10,560170508_key_flower_type,560170508,key_flower_type,NO,YES,,5 Regular Parts,0.427068,0.955859,3,0.992248,False,rows/560170508_key_flower_type,rows/560170508_key_flower_type/steps.json
benchmark_10,560170508_key_plant_type,560170508,key_plant_type,YES,YES,,Wildflowers - Basal Leaves Only,0.361233,,3,0.992248,False,rows/560170508_key_plant_type,rows/560170508_key_plant_type/steps.json
benchmark_10,560170508_key_leaf_type,560170508,key_leaf_type,YES,YES,,Leaves Divided,0.436698,0.95481,3,0.992248,False,rows/560170508_key_leaf_type,rows/560170508_key_leaf_type/steps.json
benchmark_10,589206756_key_flower_type,589206756,key_flower_type,YES,YES,,Cannot determine from this image,0.415071,0.965837,83,0.78553,True,rows/589206756_key_flower_type,rows/589206756_key_flower_type/steps.json
benchmark_10,589206756_key_plant_type,589206756,key_plant_type,YES,YES,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,0.39793,,83,0.78553,True,rows/589206756_key_plant_type,rows/589206756_key_plant_type/steps.json
benchmark_10,589206756_key_leaf_type,589206756,key_leaf_type,YES,YES,Leaves Entire,Leaves Entire,0.483403,0.972413,83,0.78553,True,rows/589206756_key_leaf_type,rows/589206756_key_leaf_type/steps.json
