feature,feature_display,model,model_display,n,sees_feature_count,sees_feature_rate,mc_correct_count,mc_correct_rate,mc_inc_count,mc_inc_rate,mc_wrong_count,mc_wrong_rate,committed_count,committed_rate,committed_accuracy
key_flower_type,flower type,gpt-4o-mini,gpt-4o-mini,90,50,0.5555555555555556,5,0.05555555555555555,81,0.9,4,0.044444444444444446,9,0.1,0.5555555555555556
key_flower_type,flower type,gpt-5-mini,gpt-5-mini,90,11,0.12222222222222222,4,0.044444444444444446,85,0.9444444444444444,1,0.011111111111111112,5,0.05555555555555555,0.8
key_flower_type,flower type,gemini-3.1-pro-preview,gemini-3.1-pro,90,64,0.7111111111111111,45,0.5,29,0.32222222222222224,16,0.17777777777777778,61,0.6777777777777778,0.7377049180327869
key_flower_type,flower type,gemini-3-flash-preview,gemini-3-flash,90,77,0.8555555555555555,53,0.5888888888888889,19,0.2111111111111111,18,0.2,71,0.7888888888888889,0.7464788732394366
key_flower_type,flower type,claude-sonnet-4-6,claude-sonnet-4-6,90,62,0.6888888888888889,44,0.4888888888888889,30,0.3333333333333333,16,0.17777777777777778,60,0.6666666666666666,0.7333333333333333
key_flower_type,flower type,claude-haiku-4-5,claude-haiku-4-5,90,72,0.8,22,0.24444444444444444,40,0.4444444444444444,28,0.3111111111111111,50,0.5555555555555556,0.44
key_plant_type,plant type,gpt-4o-mini,gpt-4o-mini,90,73,0.8111111111111111,30,0.3333333333333333,40,0.4444444444444444,20,0.2222222222222222,50,0.5555555555555556,0.6
key_plant_type,plant type,gpt-5-mini,gpt-5-mini,90,15,0.16666666666666666,5,0.05555555555555555,83,0.9222222222222223,2,0.022222222222222223,7,0.07777777777777778,0.7142857142857143
key_plant_type,plant type,gemini-3.1-pro-preview,gemini-3.1-pro,90,90,1.0,45,0.5,43,0.4777777777777778,2,0.022222222222222223,47,0.5222222222222223,0.9574468085106383
key_plant_type,plant type,gemini-3-flash-preview,gemini-3-flash,90,90,1.0,69,0.7666666666666667,9,0.1,12,0.13333333333333333,81,0.9,0.8518518518518519
key_plant_type,plant type,claude-sonnet-4-6,claude-sonnet-4-6,90,89,0.9888888888888889,61,0.6777777777777778,3,0.03333333333333333,26,0.28888888888888886,87,0.9666666666666667,0.7011494252873564
key_plant_type,plant type,claude-haiku-4-5,claude-haiku-4-5,90,90,1.0,44,0.4888888888888889,2,0.022222222222222223,44,0.4888888888888889,88,0.9777777777777777,0.5
key_leaf_type,leaf type,gpt-4o-mini,gpt-4o-mini,90,59,0.6555555555555556,26,0.28888888888888886,55,0.6111111111111112,9,0.1,35,0.3888888888888889,0.7428571428571429
key_leaf_type,leaf type,gpt-5-mini,gpt-5-mini,90,48,0.5333333333333333,37,0.4111111111111111,45,0.5,8,0.08888888888888889,45,0.5,0.8222222222222222
key_leaf_type,leaf type,gemini-3.1-pro-preview,gemini-3.1-pro,90,70,0.7777777777777778,58,0.6444444444444445,24,0.26666666666666666,8,0.08888888888888889,66,0.7333333333333333,0.8787878787878788
key_leaf_type,leaf type,gemini-3-flash-preview,gemini-3-flash,90,83,0.9222222222222223,69,0.7666666666666667,13,0.14444444444444443,8,0.08888888888888889,77,0.8555555555555555,0.8961038961038961
key_leaf_type,leaf type,claude-sonnet-4-6,claude-sonnet-4-6,90,75,0.8333333333333334,58,0.6444444444444445,17,0.18888888888888888,15,0.16666666666666666,73,0.8111111111111111,0.7945205479452054
key_leaf_type,leaf type,claude-haiku-4-5,claude-haiku-4-5,90,84,0.9333333333333333,42,0.4666666666666667,17,0.18888888888888888,31,0.34444444444444444,73,0.8111111111111111,0.5753424657534246
