feature,feature_display,model,model_display,n,sees_feature_count,sees_feature_rate,mc_correct_count,mc_correct_rate,mc_inc_count,mc_inc_rate,mc_wrong_count,mc_wrong_rate,committed_count,committed_rate,committed_accuracy
key_flower_type,flower type,gpt-4o-mini,gpt-4o-mini,90,50,55.6%,5,5.6%,81,90.0%,4,4.4%,9,10.0%,55.6%
key_flower_type,flower type,gpt-5-mini,gpt-5-mini,90,11,12.2%,4,4.4%,85,94.4%,1,1.1%,5,5.6%,80.0%
key_flower_type,flower type,gemini-3.1-pro-preview,gemini-3.1-pro,90,64,71.1%,45,50.0%,29,32.2%,16,17.8%,61,67.8%,73.8%
key_flower_type,flower type,gemini-3-flash-preview,gemini-3-flash,90,77,85.6%,53,58.9%,19,21.1%,18,20.0%,71,78.9%,74.6%
key_flower_type,flower type,claude-sonnet-4-6,claude-sonnet-4-6,90,62,68.9%,44,48.9%,30,33.3%,16,17.8%,60,66.7%,73.3%
key_flower_type,flower type,claude-haiku-4-5,claude-haiku-4-5,90,72,80.0%,22,24.4%,40,44.4%,28,31.1%,50,55.6%,44.0%
key_plant_type,plant type,gpt-4o-mini,gpt-4o-mini,90,73,81.1%,30,33.3%,40,44.4%,20,22.2%,50,55.6%,60.0%
key_plant_type,plant type,gpt-5-mini,gpt-5-mini,90,15,16.7%,5,5.6%,83,92.2%,2,2.2%,7,7.8%,71.4%
key_plant_type,plant type,gemini-3.1-pro-preview,gemini-3.1-pro,90,90,100.0%,45,50.0%,43,47.8%,2,2.2%,47,52.2%,95.7%
key_plant_type,plant type,gemini-3-flash-preview,gemini-3-flash,90,90,100.0%,69,76.7%,9,10.0%,12,13.3%,81,90.0%,85.2%
key_plant_type,plant type,claude-sonnet-4-6,claude-sonnet-4-6,90,89,98.9%,61,67.8%,3,3.3%,26,28.9%,87,96.7%,70.1%
key_plant_type,plant type,claude-haiku-4-5,claude-haiku-4-5,90,90,100.0%,44,48.9%,2,2.2%,44,48.9%,88,97.8%,50.0%
key_leaf_type,leaf type,gpt-4o-mini,gpt-4o-mini,90,59,65.6%,26,28.9%,55,61.1%,9,10.0%,35,38.9%,74.3%
key_leaf_type,leaf type,gpt-5-mini,gpt-5-mini,90,48,53.3%,37,41.1%,45,50.0%,8,8.9%,45,50.0%,82.2%
key_leaf_type,leaf type,gemini-3.1-pro-preview,gemini-3.1-pro,90,70,77.8%,58,64.4%,24,26.7%,8,8.9%,66,73.3%,87.9%
key_leaf_type,leaf type,gemini-3-flash-preview,gemini-3-flash,90,83,92.2%,69,76.7%,13,14.4%,8,8.9%,77,85.6%,89.6%
key_leaf_type,leaf type,claude-sonnet-4-6,claude-sonnet-4-6,90,75,83.3%,58,64.4%,17,18.9%,15,16.7%,73,81.1%,79.5%
key_leaf_type,leaf type,claude-haiku-4-5,claude-haiku-4-5,90,84,93.3%,42,46.7%,17,18.9%,31,34.4%,73,81.1%,57.5%
