model,metric,artifact_actual,thesis_expected,delta
openai/gpt-4o-mini,accuracy,0.3111111111111111,0.07,0.2411111111111111
openai/gpt-4o-mini,consistency,0.8777777777777778,0.2,0.6777777777777778
openai/gpt-5-mini,accuracy,0.0037037037037037,0.12,-0.1162962962962963
openai/gpt-5-mini,consistency,0.9777777777777776,0.25,0.7277777777777776
google/gemini-3.1-pro-preview,accuracy,0.1592592592592592,0.32,-0.1607407407407408
google/gemini-3.1-pro-preview,consistency,0.2333333333333333,0.47,-0.23666666666666666
google/gemini-3-flash-preview,accuracy,0.9518518518518518,0.36,0.5918518518518519
google/gemini-3-flash-preview,consistency,0.9888888888888888,0.52,0.4688888888888888
anthropic/claude-sonnet-4-6,accuracy,0.6333333333333333,0.19,0.4433333333333333
anthropic/claude-sonnet-4-6,consistency,0.8666666666666667,0.2,0.6666666666666667
anthropic/claude-haiku-4-5,accuracy,0.3777777777777777,0.03,0.34777777777777774
anthropic/claude-haiku-4-5,consistency,1.0,0.27,0.73
