model,metric,artifact_actual,thesis_expected,delta
openai/gpt-4o-mini,accuracy,31.1%,7.0%,24.1%
openai/gpt-4o-mini,consistency,87.8%,20.0%,67.8%
openai/gpt-5-mini,accuracy,0.4%,12.0%,-11.6%
openai/gpt-5-mini,consistency,97.8%,25.0%,72.8%
google/gemini-3.1-pro-preview,accuracy,15.9%,32.0%,-16.1%
google/gemini-3.1-pro-preview,consistency,23.3%,47.0%,-23.7%
google/gemini-3-flash-preview,accuracy,95.2%,36.0%,59.2%
google/gemini-3-flash-preview,consistency,98.9%,52.0%,46.9%
anthropic/claude-sonnet-4-6,accuracy,63.3%,19.0%,44.3%
anthropic/claude-sonnet-4-6,consistency,86.7%,20.0%,66.7%
anthropic/claude-haiku-4-5,accuracy,37.8%,3.0%,34.8%
anthropic/claude-haiku-4-5,consistency,100.0%,27.0%,73.0%
