feature,feature_display,model,model_display,n,sees_feature_count,sees_feature_rate,mc_correct_count,mc_correct_rate,mc_inc_count,mc_inc_rate,mc_wrong_count,mc_wrong_rate,committed_count,committed_rate,committed_accuracy
key_flower_type,flower type,gpt-4o-mini,gpt-4o-mini,90,60,0.6666666666666666,6,0.06666666666666667,78,0.8666666666666667,6,0.06666666666666667,12,0.13333333333333333,0.5
key_flower_type,flower type,gpt-5-mini,gpt-5-mini,90,56,0.6222222222222222,33,0.36666666666666664,39,0.43333333333333335,18,0.2,51,0.5666666666666667,0.6470588235294118
key_flower_type,flower type,gemini-3.1-pro-preview,gemini-3.1-pro,83,55,0.6626506024096386,37,0.4457831325301205,32,0.3855421686746988,14,0.1686746987951807,51,0.6144578313253012,0.7254901960784313
key_flower_type,flower type,gemini-3-flash-preview,gemini-3-flash,90,70,0.7777777777777778,50,0.5555555555555556,27,0.3,13,0.14444444444444443,63,0.7,0.7936507936507936
key_flower_type,flower type,claude-sonnet-4-6,claude-sonnet-4-6,90,56,0.6222222222222222,42,0.4666666666666667,39,0.43333333333333335,9,0.1,51,0.5666666666666667,0.8235294117647058
key_flower_type,flower type,claude-haiku-4-5,claude-haiku-4-5,90,65,0.7222222222222222,25,0.2777777777777778,43,0.4777777777777778,22,0.24444444444444444,47,0.5222222222222223,0.5319148936170213
key_plant_type,plant type,gpt-4o-mini,gpt-4o-mini,90,73,0.8111111111111111,29,0.32222222222222224,43,0.4777777777777778,18,0.2,47,0.5222222222222223,0.6170212765957447
key_plant_type,plant type,gpt-5-mini,gpt-5-mini,90,85,0.9444444444444444,46,0.5111111111111111,19,0.2111111111111111,25,0.2777777777777778,71,0.7888888888888889,0.647887323943662
key_plant_type,plant type,gemini-3.1-pro-preview,gemini-3.1-pro,82,81,0.9878048780487805,63,0.7682926829268293,11,0.13414634146341464,8,0.0975609756097561,71,0.8658536585365854,0.8873239436619719
key_plant_type,plant type,gemini-3-flash-preview,gemini-3-flash,90,90,1.0,73,0.8111111111111111,7,0.07777777777777778,10,0.1111111111111111,83,0.9222222222222223,0.8795180722891566
key_plant_type,plant type,claude-sonnet-4-6,claude-sonnet-4-6,90,89,0.9888888888888889,54,0.6,5,0.05555555555555555,31,0.34444444444444444,85,0.9444444444444444,0.6352941176470588
key_plant_type,plant type,claude-haiku-4-5,claude-haiku-4-5,90,90,1.0,36,0.4,1,0.011111111111111112,53,0.5888888888888889,89,0.9888888888888889,0.4044943820224719
key_leaf_type,leaf type,gpt-4o-mini,gpt-4o-mini,90,62,0.6888888888888889,19,0.2111111111111111,62,0.6888888888888889,9,0.1,28,0.3111111111111111,0.6785714285714286
key_leaf_type,leaf type,gpt-5-mini,gpt-5-mini,90,77,0.8555555555555555,59,0.6555555555555556,15,0.16666666666666666,16,0.17777777777777778,75,0.8333333333333334,0.7866666666666666
key_leaf_type,leaf type,gemini-3.1-pro-preview,gemini-3.1-pro,83,66,0.7951807228915663,51,0.6144578313253012,20,0.24096385542168675,12,0.14457831325301204,63,0.7590361445783133,0.8095238095238095
key_leaf_type,leaf type,gemini-3-flash-preview,gemini-3-flash,90,82,0.9111111111111111,67,0.7444444444444445,13,0.14444444444444443,10,0.1111111111111111,77,0.8555555555555555,0.8701298701298701
key_leaf_type,leaf type,claude-sonnet-4-6,claude-sonnet-4-6,90,64,0.7111111111111111,52,0.5777777777777777,28,0.3111111111111111,10,0.1111111111111111,62,0.6888888888888889,0.8387096774193549
key_leaf_type,leaf type,claude-haiku-4-5,claude-haiku-4-5,90,84,0.9333333333333333,33,0.36666666666666664,29,0.32222222222222224,28,0.3111111111111111,61,0.6777777777777778,0.5409836065573771
